"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 20 10:07:39 PST 2026","Fri Feb 20 10:07:42 PST 2026","2635","","DummyJsonUserMeTests","","tests.auth.DummyJsonUserMeTests","Test13_user_me_without_accept_encoding_should_still_return_200","Test13_user_me_without_accept_encoding_should_still_return_200()","Test verifies that /user/me still returns 200 even without Accept-Encoding header"
"passed","Fri Feb 20 10:08:08 PST 2026","Fri Feb 20 10:08:09 PST 2026","1840","","tests.auth.DummyJsonAuthTests_Test","","tests.auth.DummyJsonAuthTests_Test","TC_001_login_success_should_return_200_and_no_password","TC_001_login_success_should_return_200_and_no_password()",""
"passed","Fri Feb 20 10:08:18 PST 2026","Fri Feb 20 10:08:18 PST 2026","483","","DummyJsonAuthTests","","tests.auth.DummyJsonAuthTests","login_using_framework_baseUrl_should_work","login_using_framework_baseUrl_should_work()","Test verifies login works using framework baseUrl from config"
"passed","Fri Feb 20 10:07:56 PST 2026","Fri Feb 20 10:07:58 PST 2026","1989","","DummyJsonSearchTests","","tests.auth.DummyJsonSearchTests","users_search_should_return_users_total_limit","users_search_should_return_users_total_limit()","Test verifies that searching users by query returns correct total and limit"
"passed","Fri Feb 20 10:03:33 PST 2026","Fri Feb 20 10:03:36 PST 2026","3363","","tests.resiliency.HttpBinRetryTests","","tests.resiliency.HttpBinRetryTests","Test19_retry_demo_should_eventually_get_200","Test19_retry_demo_should_eventually_get_200()",""
"passed","Fri Feb 20 10:06:07 PST 2026","Fri Feb 20 10:06:10 PST 2026","2525","","tests.integration.AdvantageShoppingTests","","tests.integration.AdvantageShoppingTests","Test4_wrong_login_version_should_return_404","Test4_wrong_login_version_should_return_404()",""
"passed","Fri Feb 20 10:05:46 PST 2026","Fri Feb 20 10:05:48 PST 2026","1547","","tests.resiliency.CloudflareProtocolTests","","tests.resiliency.CloudflareProtocolTests","Test17_should_fail_when_using_http_instead_of_https","Test17_should_fail_when_using_http_instead_of_https()",""
"passed","Fri Feb 20 10:08:17 PST 2026","Fri Feb 20 10:08:18 PST 2026","453","","DummyJsonAuthTests","","tests.auth.DummyJsonAuthTests","username_integer_should_return_400","username_integer_should_return_400()","Test verifies login with integer username returns 400"
"passed","Fri Feb 20 10:01:21 PST 2026","Fri Feb 20 10:01:21 PST 2026","257","","tests.resiliency.HttpBinTimeoutTests","","tests.resiliency.HttpBinTimeoutTests","Test18_delay_should_timeout_with_5_seconds","Test18_delay_should_timeout_with_5_seconds()",""
"passed","Fri Feb 20 10:07:48 PST 2026","Fri Feb 20 10:07:49 PST 2026","436","","DummyJsonUserMeTests","","tests.auth.DummyJsonUserMeTests","Test10_user_me_invalid_token_should_return_401","Test10_user_me_invalid_token_should_return_401()","Test verifies that /user/me returns 401 Unauthorized with an invalid token"
